Cell_Index_Global	Cage_ID	Cell_Type	Median_intensity_FITC	Median_intensity_TRITC	Median_intensity_Cy5
4631	15_55	H_Ramos	332	704	11676
4632	14_55	M_B3Z	52317	873	3419
4634	14_56	Undetermined	2945	924	3676
4635	15_56	H_Ramos	328	746	24876
4636	14_56	H_Ramos	408	793	14390
4637		Undetermined	315	959	2920
4638	15_57	M_B3Z	20332	768	2804
4639		H_Ramos	378	707	11775
4641	14_58	M_B3Z	65431	1015	3427
4642		Undetermined	318	887	3428
4643		M_B3Z	12642	921	3656
4644	15_59	H_Ramos	301	686	24266
4645		H_Ramos	353	1018	17789
4646	14_59	M_B3Z	65433	1095	3436
4647	15_60	Undetermined	238	555	8422
4649	14_61	H_Ramos	379	765	14835
4650		M_B3Z	48633	1499	3271
4651		M_B3Z	52975	895	3452
4652	14_62	M_B3Z	65433	989	3517
4653		M_B3Z	34147	1061	3261
4654	15_63	M_B3Z	24065	591	2195
4655	14_63	M_B3Z	31459	1199	2904
4659		H_Ramos	457	1113	8916
4660	15_63	M_B3Z	57311	882	2856
4661	15_63	M_B3Z	62962	835	3033
4662	15_63	H_Ramos	353	687	18581
4664	14_64	M_B3Z	46480	968	3937
4665		Undetermined	354	805	4059
4666	14_65	H_Ramos	377	777	16853
4667	14_65	M_B3Z	50300	985	3715
4670	15_66	H_Ramos	300	802	15228
4672	14_67	H_Ramos	441	855	25257
4673		H_Ramos	375	1202	17500
4674	14_67	M_B3Z	65433	1196	4748
4675	14_67	M_B3Z	65434	1143	4642
4676	14_68	M_B3Z	35564	946	4259
4677	15_68	H_Ramos	274	685	11468
4679	14_69	M_B3Z	64999	1120	4435
4680	14_69	H_Ramos	413	910	23984
4681	14_69	H_Ramos	347	831	13949
4682	14_69	H_Ramos	418	915	16952
4683		Undetermined	332	798	4496
4685		Undetermined	402	1442	4141
4686		M_B3Z	64953	1010	4493
4689		Undetermined	263	707	3701
4691	14_71	M_B3Z	29079	799	3223
4696	15_71	H_Ramos	276	745	18840
4697		H_Ramos	312	985	22092
4698	14_71	H_Ramos	389	848	18749
4699		H_Ramos	328	1051	21674
4700	15_72	H_Ramos	298	775	10962
4701	14_72	H_Ramos	352	918	31208
4702		Undetermined	273	699	3546
4703		M_B3Z	44076	1035	4225
4706		H_Ramos	364	836	17055
4707	15_74	M_B3Z	53183	1060	3593
4708	14_74	H_Ramos	377	854	13481
4709		H_Ramos	376	772	18483
4712	14_75	H_Ramos	434	972	20783
4714	13_75	Undetermined	1162	1395	4095
4717	14_76	M_B3Z	65433	1143	3813
4720		M_B3Z	22238	1171	4083
4721	15_77	M_B3Z	38360	988	3580
4722	14_77	M_B3Z	65435	1402	4858
4723		H_Ramos	422	1216	15014
4724		M_B3Z	32331	1135	4779
4725		Undetermined	26168	1084	8597
4727	14_79	M_B3Z	50713	998	3588
4732	15_79	M_B3Z	33176	870	3183
4733		H_Ramos	312	937	13674
4734	15_80	Undetermined	220	639	3148
4735	14_80	M_B3Z	65434	1195	4017
4737		M_B3Z	61645	1475	3969
4738	14_80	H_Ramos	369	856	24911
4739	14_81	M_B3Z	63390	1061	3764
4740	14_81	M_B3Z	24791	785	3421
4741		Undetermined	294	900	3639
4742	14_82	M_B3Z	25484	786	3040
4743	14_82	M_B3Z	33614	799	2755
4744		Undetermined	242	668	2950
4746	14_83	M_B3Z	51683	951	3704
4747		Undetermined	360	736	3862
4748	15_83	M_B3Z	49973	783	3216
4750	14_83	M_B3Z	43694	890	3503
4751	14_84	M_B3Z	3995	688	3186
4752		M_B3Z	27358	802	3013
4755	14_85	M_B3Z	35987	959	3807
4757	14_85	M_B3Z	8787	1182	4064
4758	14_85	M_B3Z	2523	797	3969
4759	14_85	H_Ramos	360	783	13860
4763		Undetermined	693	1692	14767
4768	14_87	Undetermined	309	672	7503
4769	14_87	Undetermined	364	705	5446
4776	14_88	M_B3Z	3380	787	3694
4777	14_88	M_B3Z	49652	1013	3753
4779		Undetermined	299	668	3430
4783	14_89	M_B3Z	65431	1081	3408
4785	14_89	M_B3Z	48172	918	3333
4787	14_89	M_B3Z	65434	991	3233
4788	14_89	M_B3Z	42817	981	3362
4790	14_90	M_B3Z	17965	534	2100
4794		Undetermined	9431	788	15721
4795		Undetermined	311	595	2690
4796		Undetermined	310	590	2679
4797		M_B3Z	19321	866	2579
4800	14_91	M_B3Z	38928	767	2658
4801	14_91	M_B3Z	38735	888	2751
