	UMAP1_sc	UMAP2_sc	Clusters_sc	Cell_type_img	UMAP1_CP_sc	UMAP2_CP_sc	Clusters_CP_sc	UMAP1_bimodal_sc	UMAP2_bimodal_sc	Clusters_bimodal_sc
11_105	3.390003	3.1194446	0	Mouse	6.8975534	-3.381651	1	-0.2935128	-2.9061596	1
11_109	10.990033	5.3183494	1	Mouse	12.237576	6.308512	0	-4.065524	3.425939	2
11_110	-0.96595585	3.385403	0	Human	12.600468	6.2485247	0	3.182031	3.3470263	3
12_5	3.1780937	1.5976706	0	Mouse						
12_7	2.247235	4.011772	0	Mouse	6.436241	-4.9493203	1	-2.6164136	2.9126623	2
12_12	10.477904	7.772093	2	Mouse	7.3353333	-5.6395597	1	-4.5804286	1.6386993	0
12_13	7.5247235	3.3163908	1	Mouse	14.843943	5.9861712	0	-1.9359963	0.34074298	2
12_19	1.8594584	1.0586605	0	Mouse	10.727896	1.803843	0	-2.0324495	1.5065546	4
12_26	11.529763	9.679862	2	Mouse	8.028518	1.4690692	0	-4.85132	3.0360677	2
12_35	15.093036	4.004925	2	Human	17.177193	4.3363924	0	-1.4200981	0.4152104	4
12_39	12.62231	8.447429	2	Mouse	7.5267577	-4.908828	1	0.54438096	0.25343552	4
12_41	6.538833	2.265021	1	Mouse	6.048496	3.8486588	2	-4.698487	3.20122	2
12_45	14.880325	2.5755854	2	Undetermined_cells	3.7720754	7.5906954	2	-0.29207033	-2.3671036	1
12_49	12.569756	4.86864	1	Mouse	16.878023	5.217716	0	-0.9942415	-0.48394713	4
12_52	-0.6597328	1.4399165	0	Human	8.3545885	6.6796923	2	2.477143	1.4276096	3
12_55	9.782809	5.0384865	1	Mouse	14.173159	-1.6798849	0	1.312645	-2.0009532	4
12_62	5.8180285	7.2781167	0	Human	9.4399605	4.9171453	0	-2.8792086	1.0701251	4
12_71	5.2137527	6.5628977	0	Mouse	7.4317055	-1.9762515	1	-2.9363146	-3.5838876	1
12_73	5.580721	5.15993	1	Mouse	5.5353727	-4.005264	1	-0.32226112	1.6775506	4
12_93	12.081628	2.450745	1	Mouse	12.597999	5.9696746	0	-4.105977	0.1912918	0
12_100	10.483097	0.7421619	1	Mouse	11.854994	-0.011327282	0	2.4006917	-0.5035703	4
12_106	8.774267	-0.30863345	1	Mouse	6.4746733	-1.6067526	1	2.4784434	-0.7334276	4
13_1	2.3279467	0.1212864	0	Undetermined_cells	15.198512	2.1605527	0	0.8753943	-0.3650407	4
13_12	14.801944	8.180597	2	Undetermined_cells	17.308706	4.5443187	0	-0.911347	2.3247936	2
