	H_UMIs_cage	M_UMIs_cage	Cell_type_img
48_71	179	5	Mouse
48_81	8	107	Mouse
48_83	244	6	Human
48_102	250	12	Human
48_104	55	314	Mouse
48_108	779	96	Human
48_109	359	21	Human
48_110	53	266	Mouse
49_10	163	1	Human
49_12	612	15	Undetermined_cells
49_13	16	124	Mouse
49_16	16	4	Mouse
49_17	264	6	Human
49_34	25	465	Mouse
49_36	405	8	Undetermined_cells
49_44	230	13	Human
49_45	359	11	Human
49_48	240	12	Human
49_63	436	108	Human
49_68	541	10	Undetermined_cells
49_71	534	24	Human
49_80	10	53	Undetermined_cells
49_88	270	10	Human
49_89	31	305	Mouse
49_90	312	37	Human
49_92	314	13	Human
49_104	42	316	Mouse
49_105	807	163	Human
49_110	446	66	Human
49_111	137	564	Mouse
50_1	479	50	Human
50_6	158	5	Human
50_8	19	246	Mouse
50_9	353	76	Human
50_10	823	7	Human
50_13	353	6	Human
50_17	114	6	Undetermined_cells
50_21	15	168	Mouse
50_27	269	7	Human
50_28	171	2	Human
50_34	378	60	Human
50_37	283	2	Human
50_41	23	208	Mouse
50_49	528	6	Human
50_53	10	114	Mouse
50_54	143	4	Human
50_58	555	9	Human
50_69	10	264	Mouse
50_72	385	10	Human
50_77	49	247	Mouse
50_85	225	13	Human
50_96	308	6	Human
50_98	511	50	Human
50_99	284	19	Human
50_106	387	11	Human
50_107	290	9	Undetermined_cells
51_1	452	9	Human
51_9	23	3	Mouse
51_14	12	154	Undetermined_cells
51_29	281	7	Human
